topic_id,topic_label,rank,paper_id,year,title,decision,avg_rating,avg_rating_z_year,topic_prob,openreview_url,semantic_scholar_search_url
0,RL / policy learning,1,pGEY8JQ3qx,2024,Span-Based Optimal Sample Complexity for Weakly Communicating and General Average Reward MDPs,Accept (oral),7.75,1.5882980506982585,1.0,https://openreview.net/forum?id=pGEY8JQ3qx,https://www.semanticscholar.org/search?q=Span-Based+Optimal+Sample+Complexity+for+Weakly+Communicating+and+General+Average+Reward+MDPs
0,RL / policy learning,2,cYZibc2gKf,2024,Abstract Reward Processes: Leveraging State Abstraction for Consistent Off-Policy Evaluation,Accept (poster),7.333333333333333,1.2370369058040553,1.0,https://openreview.net/forum?id=cYZibc2gKf,https://www.semanticscholar.org/search?q=Abstract+Reward+Processes%3A+Leveraging+State+Abstraction+for+Consistent+Off-Policy+Evaluation
0,RL / policy learning,3,fu0xdh4aEJ,2024,"Bigger, Regularized, Optimistic: scaling for compute and sample efficient continuous control",Accept (spotlight),7.333333333333333,1.2370369058040553,1.0,https://openreview.net/forum?id=fu0xdh4aEJ,https://www.semanticscholar.org/search?q=Bigger%2C+Regularized%2C+Optimistic%3A+scaling+for+compute+and+sample+efficient+continuous+control
0,RL / policy learning,4,hH4bPkOhhh,2024,Identifying Selections for Unsupervised Subtask Discovery,Accept (poster),7.333333333333333,1.2370369058040553,1.0,https://openreview.net/forum?id=hH4bPkOhhh,https://www.semanticscholar.org/search?q=Identifying+Selections+for+Unsupervised+Subtask+Discovery
0,RL / policy learning,5,QFUsZvw9mx,2024,Towards an Information Theoretic Framework of Context-Based Offline Meta-Reinforcement Learning,Accept (spotlight),7.333333333333333,1.2370369058040553,1.0,https://openreview.net/forum?id=QFUsZvw9mx,https://www.semanticscholar.org/search?q=Towards+an+Information+Theoretic+Framework+of+Context-Based+Offline+Meta-Reinforcement+Learning
1,3D vision / scene generation,1,x7pjdDod6Z,2024,MeshFormer : High-Quality Mesh Generation with 3D-Guided Reconstruction Model,Accept (oral),7.2,1.1246333394379104,1.0,https://openreview.net/forum?id=x7pjdDod6Z,https://www.semanticscholar.org/search?q=MeshFormer+%3A+High-Quality+Mesh+Generation+with+3D-Guided+Reconstruction+Model
1,3D vision / scene generation,2,TFZlFRl9Ks,2024,CAT3D: Create Anything in 3D with Multi-View Diffusion Models,Accept (oral),7.0,0.9560279898886928,1.0,https://openreview.net/forum?id=TFZlFRl9Ks,https://www.semanticscholar.org/search?q=CAT3D%3A+Create+Anything+in+3D+with+Multi-View+Diffusion+Models
1,3D vision / scene generation,3,1IOU2329Za,2023,Banana: Banach Fixed-Point Network for Pointcloud Segmentation with Inter-Part Equivariance,Accept (spotlight),6.8,0.757902568734561,1.0,https://openreview.net/forum?id=1IOU2329Za,https://www.semanticscholar.org/search?q=Banana%3A+Banach+Fixed-Point+Network+for+Pointcloud+Segmentation+with+Inter-Part+Equivariance
1,3D vision / scene generation,4,KgqucdSwIe,2023,VoxDet: Voxel Learning for Novel Instance Detection,Accept (spotlight),6.8,0.757902568734561,1.0,https://openreview.net/forum?id=KgqucdSwIe,https://www.semanticscholar.org/search?q=VoxDet%3A+Voxel+Learning+for+Novel+Instance+Detection
1,3D vision / scene generation,5,6AeIDnrTN2,2024,LightGaussian: Unbounded 3D Gaussian Compression with 15x Reduction and 200+ FPS,Accept (spotlight),6.75,0.7452713029521708,1.0,https://openreview.net/forum?id=6AeIDnrTN2,https://www.semanticscholar.org/search?q=LightGaussian%3A+Unbounded+3D+Gaussian+Compression+with+15x+Reduction+and+200%2B+FPS
2,image diffusion models,1,gojL67CfS8,2024,Visual Autoregressive Modeling: Scalable Image Generation via Next-Scale Prediction,Accept (oral),7.75,1.5882980506982585,1.0,https://openreview.net/forum?id=gojL67CfS8,https://www.semanticscholar.org/search?q=Visual+Autoregressive+Modeling%3A+Scalable+Image+Generation+via+Next-Scale+Prediction
2,image diffusion models,2,3Odq2tGSpp,2024,Stylus: Automatic Adapter Selection for Diffusion Models,Accept (oral),7.5,1.3775413637617366,1.0,https://openreview.net/forum?id=3Odq2tGSpp,https://www.semanticscholar.org/search?q=Stylus%3A+Automatic+Adapter+Selection+for+Diffusion+Models
2,image diffusion models,3,NnMEadcdyD,2023,Understanding Diffusion Objectives as the ELBO with Simple Data Augmentation,Accept (oral),7.4,1.2604663214348872,1.0,https://openreview.net/forum?id=NnMEadcdyD,https://www.semanticscholar.org/search?q=Understanding+Diffusion+Objectives+as+the+ELBO+with+Simple+Data+Augmentation
2,image diffusion models,4,fqmSGK8C0B,2024,Deep Learning for Computing Convergence Rates of Markov Chains,Accept (spotlight),7.333333333333333,1.2370369058040553,1.0,https://openreview.net/forum?id=fqmSGK8C0B,https://www.semanticscholar.org/search?q=Deep+Learning+for+Computing+Convergence+Rates+of+Markov+Chains
2,image diffusion models,5,bg6fVPVs3s,2024,Guiding a Diffusion Model with a Bad Version of Itself,Accept (oral),7.333333333333333,1.2370369058040553,1.0,https://openreview.net/forum?id=bg6fVPVs3s,https://www.semanticscholar.org/search?q=Guiding+a+Diffusion+Model+with+a+Bad+Version+of+Itself
3,multimodal visual learning,1,lA48H7pW3q,2024,QUEST: Quadruple Multimodal Contrastive Learning with Constraints and Self-Penalization,Accept (poster),7.333333333333333,1.2370369058040553,1.0,https://openreview.net/forum?id=lA48H7pW3q,https://www.semanticscholar.org/search?q=QUEST%3A+Quadruple+Multimodal+Contrastive+Learning+with+Constraints+and+Self-Penalization
3,multimodal visual learning,2,XgwTH95kCl,2024,Toward Robust Incomplete Multimodal Sentiment Analysis via Hierarchical Representation Learning,Accept (poster),7.0,0.9560279898886928,1.0,https://openreview.net/forum?id=XgwTH95kCl,https://www.semanticscholar.org/search?q=Toward+Robust+Incomplete+Multimodal+Sentiment+Analysis+via+Hierarchical+Representation+Learning
3,multimodal visual learning,3,4D7hnJ9oM6,2024,WATT: Weight Average Test Time Adaptation of CLIP,Accept (poster),7.0,0.9560279898886929,1.0,https://openreview.net/forum?id=4D7hnJ9oM6,https://www.semanticscholar.org/search?q=WATT%3A+Weight+Average+Test+Time+Adaptation+of+CLIP
3,multimodal visual learning,4,7xlrdSOm3g,2023,A Theory of Multimodal Learning,Accept (poster),6.8,0.7579025687345609,1.0,https://openreview.net/forum?id=7xlrdSOm3g,https://www.semanticscholar.org/search?q=A+Theory+of+Multimodal+Learning
3,multimodal visual learning,5,Q9CNA7B7v2,2023,SegRefiner: Towards Model-Agnostic Segmentation Refinement with Discrete Diffusion Process,Accept (poster),6.8,0.757902568734561,1.0,https://openreview.net/forum?id=Q9CNA7B7v2,https://www.semanticscholar.org/search?q=SegRefiner%3A+Towards+Model-Agnostic+Segmentation+Refinement+with+Discrete+Diffusion+Process
4,graph neural networks,1,jgkKroLxeC,2024,Unified Graph Augmentations for Generalized Contrastive Learning on Graphs,Accept (poster),6.75,0.7452713029521708,1.0,https://openreview.net/forum?id=jgkKroLxeC,https://www.semanticscholar.org/search?q=Unified+Graph+Augmentations+for+Generalized+Contrastive+Learning+on+Graphs
4,graph neural networks,2,y8P633E5HQ,2024,Equivariant Machine Learning on Graphs with Nonlinear Spectral Filters,Accept (poster),6.6,0.6188172907902577,1.0,https://openreview.net/forum?id=y8P633E5HQ,https://www.semanticscholar.org/search?q=Equivariant+Machine+Learning+on+Graphs+with+Nonlinear+Spectral+Filters
